gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof
ENSG00000147601,ENSG00000132604,0.0,144,16,0.0067383833272658,0.9932842686698292,-2.4721194567976235
ENSG00000147614,ENSG00000159720,0.0,98,30,0.0085984578915632,0.9914384031225424,-2.3840517608051948
ENSG00000147889,ENSG00000274391,0.0,13,609,0.0231544187508524,0.9771115877721636,-1.997445360154088
ENSG00000149480,ENSG00000182979,0.0,16,31,0.0014506241885086,0.9985504274581832,-2.978234048262288
ENSG00000149781,ENSG00000073712,0.0,117,13,0.0044483858683903,0.9955614935454496,-2.6167546240802424
ENSG00000149925,ENSG00000109107,0.0,12,65,0.0022812235222514,0.9977213764906816,-2.8367697041150137
ENSG00000151012,ENSG00000103257,0.0,284,108,0.0897047280442271,0.914201083364453,-1.3670876517667443
ENSG00000151422,ENSG00000060237,0.0,69,481,0.0970660608718001,0.9074960541725612,-1.3254923904579932
ENSG00000151962,ENSG00000135316,0.0,106,57,0.0176707083608248,0.9824845030297508,-2.107999947883941
ENSG00000152086,ENSG00000123416,0.0,648,2,0.003790340621587,0.9962168336522506,-2.6708327923075807
ENSG00000152086,ENSG00000167553,0.0,648,96,0.1819363498361789,0.8336544009662527,-0.9687074025985548
ENSG00000152465,ENSG00000136448,0.0,37,9,0.0009739069652688,0.9990265671281996,-3.098220410734941
ENSG00000152518,ENSG00000185650,0.0,131,1,0.0003831285659165,0.9996169448184602,-3.3647572255576943
ENSG00000152601,ENSG00000135482,0.0,10,60,0.0017547873248088,0.998246751414284,-2.9194499316284643
ENSG00000152601,ENSG00000139793,0.0,10,4,0.0001169858216539,0.9998830210209204,-3.6792095684371766
ENSG00000154917,ENSG00000175582,0.0,21,7,0.0004299228945781,0.9995701695090268,-3.332834384998125
ENSG00000155366,ENSG00000067560,0.0,277,4,0.0032405072598136,0.9967647375170614,-2.722932638512442
ENSG00000155465,ENSG00000103257,0.0,250,108,0.0789654296163971,0.924071869411911,-1.4330055152827583
ENSG00000155846,ENSG00000148840,0.0,48,44,0.006176851383327,0.9938421861456816,-2.502969154349151
ENSG00000155926,ENSG00000177885,0.0,53,2,0.0003100124273828,0.9996900356215044,-3.4227420518844047
ENSG00000156475,ENSG00000221914,0.0,17,7,0.0003480328194204,0.999652027736976,-3.3911718328640696
ENSG00000156508,ENSG00000101210,0.0,2,0,0.0,1.0,-inf
ENSG00000156976,ENSG00000161960,0.0,9,5,0.0001316090493606,0.9998683996107304,-3.6490608321814335
ENSG00000157404,ENSG00000065427,0.0,31,133,0.0120583135669779,0.988014096555846,-2.2575807984316483
ENSG00000157404,ENSG00000134440,0.0,31,208,0.0188581144506121,0.9813185872924436,-2.081777198323467
ENSG00000157764,ENSG00000133703,0.0,12,298,0.0104585324558605,0.9895959678315538,-2.311449049684842
ENSG00000157764,ENSG00000141510,0.0,12,6,0.000210574478977,0.9997894476902724,-3.5264915394167997
ENSG00000158186,ENSG00000133703,0.0,6,298,0.0052292662279302,0.994784382583258,-2.561196465911652
ENSG00000159399,ENSG00000106633,0.0,79,22,0.0050830339508628,0.9949298628054072,-2.5710088216934355
ENSG00000159399,ENSG00000156510,0.0,79,609,0.1407076216397956,0.8687432763035454,-1.120470193484432
ENSG00000159399,ENSG00000156515,0.0,79,46,0.0106281618972587,0.9894281174569056,-2.3054074422419983
ENSG00000159399,ENSG00000160883,0.0,79,872,0.2014729820523839,0.8175256651273123,-0.9059757844593735
ENSG00000160949,ENSG00000167522,0.0,421,23,0.028319342776873,0.972077891176706,-1.9122493606085595
ENSG00000162385,ENSG00000111196,0.0,0,14,0.0,1.0,-inf
