,gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,gene_pair
88276210,ENSG00000169045,ENSG00000103067,0.0,18,187,0.0098443568921775,0.9902039401746824,-2.334068800683932,"('ENSG00000103067', 'ENSG00000169045')"
88276366,ENSG00000169045,ENSG00000104413,0.0,18,44,0.0023163192687476,0.997686361328624,-2.831896849024117,"('ENSG00000104413', 'ENSG00000169045')"
88282278,ENSG00000169045,ENSG00000169813,0.0,18,141,0.0074227503839413,0.992604730191834,-2.437467599780613,"('ENSG00000169045', 'ENSG00000169813')"
88943630,ENSG00000169398,ENSG00000174292,0.0,53,963,0.1492709837848627,0.8613356752698877,-1.0863398797377688,"('ENSG00000169398', 'ENSG00000174292')"
90809041,ENSG00000170558,ENSG00000124215,0.0,7,1091,0.022335517999275,0.977912072899968,-2.012418364756868,"('ENSG00000124215', 'ENSG00000170558')"
91845127,ENSG00000171262,ENSG00000130244,0.0,323,396,0.3740855619027453,0.6879180497335708,-0.4899576026886691,"('ENSG00000130244', 'ENSG00000171262')"
92399788,ENSG00000171608,ENSG00000121879,0.0,27,18,0.0014213777330951,0.9985796319458,-2.984466171668648,"('ENSG00000121879', 'ENSG00000171608')"
92676562,ENSG00000171791,ENSG00000171552,0.0,3,0,0.0,1.0,-inf,"('ENSG00000171552', 'ENSG00000171791')"
93803158,ENSG00000172531,ENSG00000186298,0.0,59,22,0.0037961899126697,0.9962110065070514,-2.6703160989364423,"('ENSG00000172531', 'ENSG00000186298')"
95502126,ENSG00000173614,ENSG00000163864,0.0,159,593,0.2757560541570828,0.7589980626014057,-0.7030832423211492,"('ENSG00000163864', 'ENSG00000173614')"
100937063,ENSG00000178035,ENSG00000106348,0.0,158,220,0.1016606790172579,0.9033360205365124,-1.3007969713766945,"('ENSG00000106348', 'ENSG00000178035')"
100939975,ENSG00000178035,ENSG00000137198,0.0,158,72,0.0332707676783753,0.9672766168839227,-1.8421940789687028,"('ENSG00000137198', 'ENSG00000178035')"
109568976,ENSG00000185697,ENSG00000101057,0.0,28,70,0.0057323052610421,0.9942840930524192,-2.52921449694174,"('ENSG00000101057', 'ENSG00000185697')"
113073387,ENSG00000188191,ENSG00000108946,0.0,28,1,8.189007515774516e-05,0.9999181132777428,-3.769197222053059,"('ENSG00000108946', 'ENSG00000188191')"
113103753,ENSG00000188229,ENSG00000104833,0.0,79,28,0.0064693159374618,0.9935515650340886,-2.4866044642157794,"('ENSG00000104833', 'ENSG00000188229')"
113110905,ENSG00000188229,ENSG00000258947,0.0,79,0,0.0,1.0,-inf,"('ENSG00000188229', 'ENSG00000258947')"
115289951,ENSG00000196230,ENSG00000188229,0.0,3,79,0.0006931409932994,0.9993070991734258,-3.1975920689073822,"('ENSG00000188229', 'ENSG00000196230')"
115939291,ENSG00000196531,ENSG00000253506,0.0,498,141,0.2053627606223768,0.8143518480392811,-0.8940478238453959,"('ENSG00000196531', 'ENSG00000253506')"
115966179,ENSG00000196542,ENSG00000165389,0.0,219,17,0.0108884553504387,0.9891706093108356,-2.296299172737025,"('ENSG00000165389', 'ENSG00000196542')"
118611116,ENSG00000197959,ENSG00000079805,0.0,57,19,0.0031673911212799,0.9968376197700972,-2.730451677419792,"('ENSG00000079805', 'ENSG00000197959')"
119635174,ENSG00000198597,ENSG00000171940,0.0,51,10,0.0014915692260875,0.9985095426104282,-2.9696991988871835,"('ENSG00000171940', 'ENSG00000198597')"
121985027,ENSG00000204256,ENSG00000169925,0.0,440,179,0.2303450828365717,0.7942594698959798,-0.8212900740604339,"('ENSG00000169925', 'ENSG00000204256')"
122288360,ENSG00000204388,ENSG00000109971,0.0,140,14,0.0057323052610421,0.9942840930524192,-2.52921449694174,"('ENSG00000109971', 'ENSG00000204388')"
122299708,ENSG00000204389,ENSG00000109971,0.0,119,14,0.0048724594718858,0.9951393917028308,-2.585591148279151,"('ENSG00000109971', 'ENSG00000204389')"
122311056,ENSG00000204390,ENSG00000109971,0.0,158,14,0.0064693159374618,0.9935515650340886,-2.4866044642157794,"('ENSG00000109971', 'ENSG00000204390')"
125268649,ENSG00000213281,ENSG00000133703,0.0,21,298,0.018302431797756,0.9818640405437464,-2.093865998482552,"('ENSG00000133703', 'ENSG00000213281')"
127165127,ENSG00000221914,ENSG00000175470,0.0,7,14,0.0002866152630521,0.9997134258071784,-3.444012885714552,"('ENSG00000175470', 'ENSG00000221914')"
127271881,ENSG00000221978,ENSG00000163660,0.0,59,13,0.0022432031302139,0.9977593109696976,-2.8421259710120745,"('ENSG00000163660', 'ENSG00000221978')"
129380027,ENSG00000240065,ENSG00000142507,0.0,217,50,0.0317324041236262,0.9687657851260894,-1.862956193472757,"('ENSG00000142507', 'ENSG00000240065')"
131599978,ENSG00000254505,ENSG00000101421,0.0,51,1,0.0001491569226087,0.999850854200732,-3.616779151912288,"('ENSG00000101421', 'ENSG00000254505')"
