gene_1,gene_2,both_missense_lof,missense_1,lof_2,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
ENSG00000143384,ENSG00000171791,0.0,675,3,0.00525598593419,0.99475780259187,-2.559430066450968
ENSG00000143384,ENSG00000176720,0.0,675,171,0.2995911982488302,0.7411211303784198,-0.6468056437758154
ENSG00000143545,ENSG00000084733,0.0,33,1,8.565310411272601e-05,0.9999143505640096,-3.757967867321804
ENSG00000143614,ENSG00000167491,0.0,98,52,0.0132269157138924,0.9868601755300423,-2.2220541113394217
ENSG00000143621,ENSG00000129351,0.0,276,8,0.0057309713297242,0.9942854193599944,-2.529295939937236
ENSG00000143632,ENSG00000075624,0.0,172,1,0.0004464343608299,0.9995536652761616,-3.322336577197311
ENSG00000143845,ENSG00000110721,0.0,16,76,0.0031561871091234,0.9968487884134738,-2.731617664758357
ENSG00000143878,ENSG00000067560,0.0,174,4,0.0018065018321956,0.9981951289101118,-2.9103932813601
ENSG00000144118,ENSG00000133703,0.0,129,298,0.0997780796454973,0.9050382421591936,-1.31080540597413
ENSG00000144290,ENSG00000033867,0.0,469,231,0.2811991408020794,0.7548779935019958,-0.6899207708823143
ENSG00000144481,ENSG00000092439,1.0,1742,253,1.14392575646016,0.6829817484645417,-0.4760531638597779
ENSG00000145284,ENSG00000099194,0.0,881,5,0.0114333916247441,0.9886317212075184,-2.277832526633636
ENSG00000145632,ENSG00000166851,0.0,330,38,0.0325481795628358,0.9679758120563609,-1.85184296556796
ENSG00000145700,ENSG00000167522,0.0,100,23,0.005969761801796,0.9940480218205948,-2.5149787349853936
ENSG00000146648,ENSG00000133703,1.0,973,298,0.7525897015121623,0.8257236067280466,-0.9374001058131642
ENSG00000146648,ENSG00000196712,1.0,973,126,0.3182090684246055,0.9589320905189482,-1.7384257712842597
ENSG00000146904,ENSG00000060237,1.0,749,481,0.9350957019875056,0.7596185205701866,-0.7050759717053138
ENSG00000147601,ENSG00000132604,0.0,286,16,0.0118772304369646,0.98819302544096,-2.263352812484543
ENSG00000147614,ENSG00000159720,0.0,694,30,0.0540393220493016,0.9473948522622576,-1.6201023371126504
ENSG00000147889,ENSG00000274391,0.0,1,609,0.0015806891031712,0.9984205595278636,-2.9518385055069305
ENSG00000149480,ENSG00000182979,0.0,368,31,0.0296100185369084,0.9708240631224933,-1.893045087409006
ENSG00000149781,ENSG00000073712,0.0,676,13,0.0228096811800798,0.9774484929159,-2.003692462772121
ENSG00000149925,ENSG00000109107,0.0,1,65,0.0001687106596159,0.9998313035712272,-3.5847564845507103
ENSG00000151012,ENSG00000103257,0.0,375,108,0.1051197186838,0.9002167433711503,-1.2827875609478248
ENSG00000151422,ENSG00000060237,2.0,1117,481,1.3945285702537296,0.8348184355302632,-0.9733827098313182
ENSG00000151962,ENSG00000135316,0.0,267,57,0.0395016542876235,0.9612683637749256,-1.7655982582511314
ENSG00000152086,ENSG00000123416,0.0,930,2,0.0048277204136263,0.9951839142979948,-2.5887617413677164
ENSG00000152086,ENSG00000167553,0.0,930,96,0.2317305798540659,0.793159787748403,-0.8174340484754502
ENSG00000152465,ENSG00000136448,0.0,717,9,0.0167490751769521,0.9833904107435651,-2.1294242184145604
ENSG00000152518,ENSG00000185650,0.0,410,1,0.0010641749298853,0.9989363911034512,-3.071870796136357
ENSG00000152601,ENSG00000135482,0.0,12,60,0.0018687949988231,0.9981329501112972,-2.8997923209991363
ENSG00000152601,ENSG00000139793,0.0,12,4,0.0001245863332548,0.9998754214273,-3.6631247217407648
ENSG00000154917,ENSG00000175582,0.0,8,7,0.0001453507221306,0.9998546598407736,-3.623466988244711
ENSG00000155366,ENSG00000067560,0.0,7,4,7.267536106534326e-05,0.9999273272797248,-3.798890235614252
ENSG00000155465,ENSG00000103257,0.0,26,108,0.0072883004954101,0.992738194759111,-2.444045109013991
ENSG00000155846,ENSG00000148840,0.0,771,44,0.0880513910278823,0.9157138160398351,-1.3768055712259708
ENSG00000155926,ENSG00000177885,0.0,47,2,0.0002439815692907,0.999756048191792,-3.48731101096595
ENSG00000156475,ENSG00000221914,0.0,21,7,0.000381545645593,0.9996185271336904,-3.3658992343964336
ENSG00000156508,ENSG00000101210,0.0,2,0,0.0,1.0,-inf
ENSG00000156976,ENSG00000161960,0.0,15,5,0.0001946661457107,0.999805352800514,-3.5472368775080936
ENSG00000157404,ENSG00000065427,0.0,327,133,0.1128830045747444,0.8932551607702433,-1.244026857385323
ENSG00000157404,ENSG00000134440,0.0,327,208,0.1765388342221567,0.8381662289896175,-0.9869492020481294
ENSG00000157764,ENSG00000133703,0.0,13,298,0.0100551553131121,0.9899952287464828,-2.32616889179394
ENSG00000157764,ENSG00000141510,0.0,13,6,0.0002024527915391,0.9997975677006444,-3.5368923841831124
ENSG00000158186,ENSG00000133703,0.0,5,298,0.00386736742812,0.9961401012062056,-2.664085338429767
ENSG00000159399,ENSG00000106633,0.0,34,22,0.0019414703598884,0.998060413074616,-2.887823575112765
ENSG00000159399,ENSG00000156510,0.0,34,609,0.0537434295078213,0.9476752208103144,-1.6227186702749306
ENSG00000159399,ENSG00000156515,0.0,34,46,0.0040594380252213,0.9959487903553532,-2.6477718213589414
ENSG00000159399,ENSG00000160883,0.0,34,872,0.0769528251737606,0.9259335333297396,-1.4461578485892512
ENSG00000160949,ENSG00000167522,0.0,959,23,0.0572500156792241,0.9443579355584868,-1.5924477746815742
ENSG00000162385,ENSG00000111196,0.0,60,14,0.0021802608319602,0.9978221142103032,-2.851176996060164
